# Segments csv created Sun Mar  5 10:54:31 2017
# num_ytids=22160, num_segs=22160, num_unique_labels=527, num_positive_labels=52882
# YTID, start_seconds, end_seconds, positive_labels
-4xJv59_zcA, 30.000, 40.000, "/m/07pl1bw,/m/083vt"
-5-vmt2iKT0, 30.000, 40.000, "/m/02zsn,/m/09x0r"
-5DdYkYOjy0, 30.000, 40.000, "/m/06h7j"
-5GhUbDLYkQ, 16.000, 26.000, "/m/0130jx,/m/02jz0l,/m/0838f"
-5Jlimvsuwo, 90.000, 100.000, "/m/011k_j,/m/04rlf"
-5Kk-m7BmiE, 21.000, 31.000, "/m/07pyf11,/m/07qmpdm"
-5S70zOSw30, 30.000, 40.000, "/m/030rvx,/m/07pzfmf,/m/09x0r"
-5f6hjZf9Yw, 30.000, 40.000, "/m/02w4v,/m/04rlf"
-5xOcMJpTUk, 70.000, 80.000, "/m/018vs,/m/0342h,/m/042v_gx,/m/04rlf,/m/04szw,/m/09x0r,/m/0fx80y"
-60XojQWWoc, 30.000, 40.000, "/m/02rhddq,/m/07r04,/m/07yv9"
-64xnyOswXA, 120.000, 130.000, "/m/0cdnk"
-693sNKI3iM, 30.000, 40.000, "/m/015lz1,/m/01swy6,/m/04rlf"
-6QGvxvaTkI, 280.000, 290.000, "/m/01p970,/m/026t6,/m/0l14md"
-6RN8skIHU4, 20.000, 30.000, "/m/09x0r,/m/0dv5r,/t/dd00125"
-6fxJZ7CW00, 30.000, 40.000, "/m/07pjjrj"
-6gC_nlUBfA, 60.000, 70.000, "/m/02y_763,/m/09x0r"
-6krAYK2LLo, 30.000, 40.000, "/m/04rlf,/m/06j64v,/m/0l14gg"
-6pcgdLfb_A, 110.000, 120.000, "/m/04rlf,/t/dd00035"
-6sgMgtW91g, 20.000, 30.000, "/m/04rlf,/m/05rj2,/m/09x0r"
-6x2PtSRfJU, 30.000, 40.000, "/m/01yrx,/m/068hy,/m/07qrkrw,/m/09x0r"
-70MzkgSsHQ, 30.000, 40.000, "/m/04rlf,/m/04rzd"
-70wVF5u-gg, 30.000, 40.000, "/m/07pn_8q"
-75IwDlkzDQ, 30.000, 40.000, "/m/01h82_,/m/02mk9"
-76P3VHPuus, 10.000, 20.000, "/m/01jg1z"
-7J4109yM7w, 30.000, 40.000, "/m/02mk9,/m/07yv9,/t/dd00130"
-7QVE8o9uk4, 30.000, 40.000, "/m/01yg9g,/m/04rlf,/m/07yv9"
-7WpTk5AHfk, 30.000, 40.000, "/m/04rlf,/m/07pws3f,/m/09x0r"
-7aibH1LKwI, 90.000, 100.000, "/t/dd00121"
-7wUQP6G5EQ, 30.000, 40.000, "/m/02cjck,/m/02w4v,/m/04rlf"
-7ye24UFRng, 0.000, 10.000, "/m/032n05,/m/04rlf"
-7z662AsuTE, 380.000, 390.000, "/m/0mbct"
-82vJ9bcar4, 40.000, 50.000, "/m/0642b4"
-8CrCItCO24, 30.000, 40.000, "/m/07q7njn"
-8Ezw9946g8, 100.000, 110.000, "/m/0fqfqc"
-8H4GKg-mYQ, 30.000, 40.000, "/m/04rlf,/m/07gxw"
-8S_tLKfeJg, 200.000, 210.000, "/m/04fgwm,/m/09x0r,/t/dd00125"
-8_HpHg6nCw, 30.000, 40.000, "/m/07ptzwd,/m/0838f"
-8fQePz4FcE, 30.000, 40.000, "/m/04rlf,/m/07xzm,/t/dd00126"
-8n2NqDFRko, 30.000, 40.000, "/m/02rhddq,/m/07r04,/m/07yv9,/m/09x0r"
-8wQV7VJnmM, 30.000, 40.000, "/m/04rlf,/m/04wptg,/t/dd00031"
-92cYmTgIjM, 190.000, 200.000, "/m/02fxyj"
-99daJhXYJY, 30.000, 40.000, "/m/019jd,/m/02rlv9,/m/03m9d0z,/t/dd00092"
-9ME9qMgkeY, 270.000, 280.000, "/m/08j51y,/m/09ct_"
-9Nl3LZBCOo, 200.000, 210.000, "/m/01s0vc,/m/09x0r"
-9c1c8G_WO8, 24.000, 34.000, "/m/07c52,/m/09x0r"
-9ek6eO0RtI, 260.000, 270.000, "/m/03wwcy"
-9wxcZf43a4, 530.000, 540.000, "/m/0cj0r"
-A0MTi2NMGI, 30.000, 40.000, "/t/dd00134"
-AIrHVeCgtM, 30.000, 40.000, "/m/02rhddq,/m/07r04,/m/07yv9,/m/09x0r"
-ASYwidRD7M, 30.000, 40.000, "/m/01d3sd"
-AgbNy9f2sg, 80.000, 90.000, "/m/019jd,/m/06q74"
-Ar7D-GARhI, 30.000, 40.000, "/m/07bgp,/m/07q0h5t,/m/09x0r"
-AswFDuOptQ, 0.000, 10.000, "/m/04k94,/m/04rlf,/m/09x0r"
-AvC89aikTw, 180.000, 190.000, "/m/0242l"
-B3_mFE3pog, 30.000, 40.000, "/m/07qfgpx"
-BIMKnb3tlo, 410.000, 420.000, "/m/01p970,/m/026t6,/m/0l14md"
-BcwR0CSZ4w, 150.000, 160.000, "/m/07mzm6,/m/07ppn3j,/m/0ytgt"
-BqpAyCLh7U, 450.000, 460.000, "/m/01m2v,/m/04rlf,/m/09x0r"
-BwM5Va6XFg, 70.000, 80.000, "/m/023pjk,/m/04brg2"
-BxQ9nkrId4, 30.000, 40.000, "/m/07qv_x_"
-By_0iIghuE, 30.000, 40.000, "/m/01yrx,/m/068hy,/m/07r81j2,/m/0jbk"
-C5dEU4zpJg, 30.000, 40.000, "/m/025_jnm,/m/04rlf"
-CHMeZVAe2s, 30.000, 40.000, "/m/01jg1z"
-CIxoobEubQ, 250.000, 260.000, "/m/02p01q,/m/07pdjhy,/m/083vt"
-CUp_Tmg2Y0, 30.000, 40.000, "/m/01qbl,/m/026t6,/m/02hnl,/m/03qtq,/m/03t3fj,/m/0bm02,/m/0l14md"
-CgdUiJaNdU, 170.000, 180.000, "/m/07sq110,/m/09x0r"
-CniGkDLq-Y, 30.000, 40.000, "/m/04rlf,/t/dd00004"
-DBcp6YGi6k, 30.000, 40.000, "/t/dd00018"
-DLL8LaKq-c, 19.000, 29.000, "/m/07pws3f,/m/09x0r"
-DNkAalo7og, 30.000, 40.000, "/m/02mk9,/m/07pb8fc,/t/dd00066"
-DWRAxaH_RY, 300.000, 310.000, "/m/04rlf,/m/09x0r,/m/0l156b"
-DYZX74qgFQ, 30.000, 40.000, "/m/04rlf,/t/dd00032"
-DZMYxyB6L8, 40.000, 50.000, "/m/05lls"
-D_ljLTbCK0, 220.000, 230.000, "/m/04rlf,/m/09ct_"
-DcMk015qSA, 290.000, 300.000, "/m/07qh7jl"
-DeAdhYKbGE, 290.000, 300.000, "/m/0192l,/m/085jw"
-Dj2PfPmynQ, 30.000, 40.000, "/m/04rlf,/m/0l14jd,/t/dd00003,/t/dd00004"
-Dl-VzBPd9E, 270.000, 280.000, "/m/028ght"
-Dtir74TiUM, 40.000, 50.000, "/m/01hgjl,/m/0283d,/m/04rlf,/m/07qb_dv"
-DvxsHG1tuo, 410.000, 420.000, "/m/04rlf,/m/05zppz,/m/07sr1lc,/m/09x0r"
-E013cWxoMo, 10.000, 20.000, "/m/02_nn"
-ECK_BisOLM, 20.000, 30.000, "/m/04rlf,/t/dd00006"
-EDGR1davAc, 40.000, 50.000, "/m/0gy1t2s"
-EDhb2m8qhk, 30.000, 40.000, "/m/01z7dr,/m/04rlf"
-EFS2mihxs0, 240.000, 250.000, "/m/02rhddq,/m/07yv9,/t/dd00129"
-ETHxO8vrAg, 30.000, 40.000, "/m/015lz1,/m/04rlf,/t/dd00004"
-ETSfElMyNc, 220.000, 230.000, "/m/0chx_"
-En5nC5Tka4, 30.000, 40.000, "/m/07qlwh6,/m/09x0r"
-F8ZP9sXcKM, 5.000, 15.000, "/t/dd00006"
-FEPOSP7ay0, 260.000, 270.000, "/m/0395lw"
-FFx68qSAuY, 190.000, 200.000, "/m/026t6,/m/02hnl,/m/02k_mr,/m/03t3fj,/m/06rvn,/m/0bm02,/m/0l14md"
-FT5MbWPCzg, 540.000, 550.000, "/m/03w41f"
-FVBrg2qeIA, 90.000, 100.000, "/m/0342h,/m/04rlf,/m/04szw,/m/07rwj3x,/m/09x0r,/m/0fx80y"
-FYyJ2sAWk4, 200.000, 210.000, "/m/0242l"
-Fby-7z_JpE, 0.000, 8.000, "/m/07q5rw0"
-FlvaZQOr2I, 90.000, 100.000, "/m/04rlf,/t/dd00037"
-Fn3Ze8xVOE, 210.000, 220.000, "/m/05w3f,/m/0dl5d"
-G3Ph35cTy0, 30.000, 40.000, "/m/09x0r,/t/dd00136"
-GDC7PuqdOM, 30.000, 40.000, "/m/02mk9,/m/07pb8fc,/t/dd00066,/t/dd00130"
-GI5PbO6j50, 30.000, 40.000, "/m/03qc9zr"
-GREE8GdRrc, 30.000, 40.000, "/m/02z32qm,/t/dd00129"
-G_hnfp4a0M, 30.000, 40.000, "/m/04rlf,/m/07pbtc8"
-GaHBgRGi4s, 10.000, 20.000, "/m/04rlf,/m/07rkbfh,/m/09x0r,/t/dd00126"
-GbQWmFzVdY, 60.000, 70.000, "/m/01h3n,/m/03vt0,/m/0h2mp"
-GiRtQZlnbw, 280.000, 290.000, "/m/04_sv,/m/07yv9"
-GlZ819IHfE, 30.000, 40.000, "/m/07pn_8q"
-H5WnRXsnoM, 130.000, 140.000, "/m/07qwdck,/m/09x0r,/t/dd00125"
-H5kC4WsuI8, 30.000, 40.000, "/m/07qcpgn,/m/09x0r"
-H7l8OjHID4, 10.000, 20.000, "/m/06xkwv,/m/07rcgpl"
-HLoD4GWMtw, 4.000, 14.000, "/m/04rmv"
-HN5kqCKpEA, 30.000, 40.000, "/m/04rlf,/m/07pws3f,/m/09x0r"
-Hav5URxl74, 30.000, 40.000, "/m/04fgwm"
-HlS6jz-f0I, 170.000, 180.000, "/m/04rlf,/m/0dq0md"
-HnNrGtKXp4, 30.000, 40.000, "/m/04rlf,/m/0m0jc"
-HvtS74RG8w, 240.000, 250.000, "/m/03l9g"
-IKwiAsgpAI, 500.000, 510.000, "/m/02p01q,/m/07pdjhy,/m/083vt"
-IWlQN6cfe4, 30.000, 40.000, "/m/07pbtc8"
-IZsyroG6yo, 420.000, 430.000, "/m/07rkbfh,/m/09x0r"
-ItCGHv_9Gs, 3.000, 13.000, "/m/07r4wb8,/m/09x0r"
-J0H5ah1G7A, 30.000, 40.000, "/m/025td0t,/m/04rlf"
-JBvPwxaVVg, 110.000, 120.000, "/m/04rlf,/m/07qnq_y,/m/09x0r"
-JKLmqDk9p8, 490.000, 500.000, "/m/06mb1,/m/07r10fb,/m/0jb2l,/m/0ngt1,/t/dd00038"
-JOKwS64mRU, 150.000, 160.000, "/m/019jd,/m/03m9d0z,/m/06q74,/t/dd00092"
-JVWfFPBl84, 330.000, 340.000, "/m/0l14t7"
-Jam3cjbeFQ, 30.000, 40.000, "/m/07pws3f,/m/09x0r"
-JbPonixXS4, 0.000, 10.000, "/m/01j4z9,/m/0_ksk"
-JfXNXGi-l8, 70.000, 80.000, "/m/03wvsk"
-JfpacjZWyw, 30.000, 40.000, "/m/01c194"
-Jie0k7xUIk, 10.000, 20.000, "/m/012xff,/m/07r5v4s"
-JuVh6islEI, 30.000, 40.000, "/m/06bz3,/m/09x0r"
-K-k1pxeRtQ, 30.000, 40.000, "/m/03qtwd,/m/04gy_2"
-K4R9SXZZsk, 10.000, 20.000, "/m/012f08,/m/07yv9,/m/096m7z,/m/0k4j"
-KElVp2r03E, 530.000, 540.000, "/m/018w8,/m/07rjzl8,/m/09x0r"
-KaRoM5LnHc, 30.000, 40.000, "/m/07pyf11,/m/09x0r"
-KengzYsTkk, 60.000, 70.000, "/m/06hck5"
-KiAK66YwW8, 150.000, 160.000, "/m/07r4k75,/m/09x0r"
-L44JqysUy8, 190.000, 200.000, "/m/07qc9xj,/m/09x0r,/t/dd00125"
-L68XDzhn2g, 80.000, 90.000, "/m/02x984l,/m/09x0r"
-LB1RoVe8Xc, 270.000, 280.000, "/m/04rlf,/m/07rrh0c"
-LBl0UeKNyU, 430.000, 440.000, "/m/07p6mqd,/m/09x0r,/t/dd00125,/t/dd00128"
-LQM385KSMY, 30.000, 40.000, "/m/0155w,/m/04rlf,/m/06j6l,/m/06rqw"
-M-6VinyMiY, 30.000, 40.000, "/m/04rlf,/t/dd00033"
-MZx1np1Ddc, 30.000, 40.000, "/m/01jnbd,/m/09x0r"
-M_5w6KKfgQ, 0.000, 10.000, "/m/04rlf,/m/07r4wb8,/m/09x0r"
-MfaG0whPJc, 130.000, 140.000, "/m/07qv4k0,/t/dd00129"
-MtYGIr-o08, 50.000, 60.000, "/m/03qtwd,/m/04gy_2"
-Mu1AWT_x54, 320.000, 330.000, "/m/03v3yw,/m/09x0r"
-N2reaP4SoI, 30.000, 40.000, "/m/042v_gx,/m/04rlf,/m/07s0s5r,/m/09x0r"
-NC5li0b4eY, 30.000, 40.000, "/m/04rlf,/t/dd00003,/t/dd00004,/t/dd00006"
-NNjOlPg0y0, 0.000, 5.000, "/m/04rlf,/m/07c52"
-NPqCu4DyAM, 30.000, 40.000, "/m/04rlf,/t/dd00032"
-N_vl1d7TFA, 30.000, 40.000, "/m/01yrx,/m/02yds9,/m/04rlf,/m/068hy,/m/0jbk"
-NmjCyqIavI, 30.000, 40.000, "/m/02cz_7,/m/04rlf,/m/0y4f8"
-NutOdeXH8s, 50.000, 60.000, "/m/07pqc89"
-NwuLeOWpLk, 420.000, 430.000, "/m/01lsmm"
-O842QWtymw, 0.000, 6.000, "/m/07st88b,/m/09ld4"
-O9mnfC61Ac, 0.000, 10.000, "/m/01lyv"
-ODqYMQFwsY, 30.000, 40.000, "/t/dd00134"
-ODzHayGHvk, 50.000, 60.000, "/m/0ghcn6"
-OIGA3xjYyQ, 0.000, 10.000, "/m/07rdhzs"
-OYfLX-2kmU, 30.000, 40.000, "/m/0140xf,/m/04rlf"
-OaOY7-71ME, 90.000, 100.000, "/m/04rlf,/m/0ggx5q"
-OylLzMa0d0, 100.000, 110.000, "/m/04rlf,/m/07p78v5"
-PFO-nCfRq0, 0.000, 9.000, "/m/01jt3m,/m/0838f"
-PIuJAAplqI, 210.000, 220.000, "/m/016cjb,/m/04rlf"
-Pvyzs28PJw, 20.000, 30.000, "/m/03cczk,/m/07pdhp0,/m/07s12q4"
-Q9WotFs1MI, 30.000, 40.000, "/m/07pczhz"
-QE9dqhf_D8, 170.000, 180.000, "/m/0642b4,/m/09x0r"
-QSNQGKiGT4, 260.000, 270.000, "/m/03qc9zr"
-QVqh513RxQ, 15.000, 25.000, "/m/068hy,/m/09x0r,/m/0bt9lr,/m/0jbk,/t/dd00136"
-QcXMPUNMeM, 0.000, 10.000, "/m/09x0r,/t/dd00121,/t/dd00125"
-QivqOnaPIc, 100.000, 110.000, "/m/08j51y,/m/09x0r"
-QoZQDW4qjU, 30.000, 40.000, "/m/04rlf,/m/068hy,/m/07r_k2n,/m/0bt9lr,/m/0jbk,/t/dd00136"
-R0267o4lLk, 60.000, 70.000, "/m/0239kh,/m/026t6,/m/02hnl,/m/02k_mr,/m/03t3fj,/m/06rvn,/m/0bm02,/m/0l14md"
-R9gJXtS07g, 0.000, 10.000, "/m/04rlf,/m/07phhsh"
-RAdrtCW1hI, 70.000, 80.000, "/m/032s66,/m/073cg4"
-RIzfomIqZc, 30.000, 40.000, "/m/04rlf,/m/07bjf,/m/09x0r"
-RPKtQIGBOY, 30.000, 40.000, "/m/03cczk"
-RRi3QktLdc, 500.000, 510.000, "/m/09x0r,/m/0ytgt,/t/dd00013,/t/dd00128"
-RZ01HFrafg, 6.000, 16.000, "/m/07qs1cx"
-RfUo7Hb8TE, 30.000, 40.000, "/m/01b9nn,/m/04rlf,/m/09x0r"
-Rl7NZwtVmA, 40.000, 50.000, "/m/05_wcq"
-RlXse804I0, 30.000, 40.000, "/m/025td0t,/m/04rlf"
-RsGz8XRZUM, 30.000, 40.000, "/m/07pdhp0,/m/07pzfmf,/m/07s12q4"
-Ry1YNVPPCM, 9.000, 19.000, "/m/068hy,/m/07rc7d9,/m/09x0r,/m/0bt9lr,/m/0jbk,/t/dd00136"
-S-Cn-IKlQw, 23.000, 33.000, "/m/07swgks,/m/09x0r"
-SD9DkKyOrY, 30.000, 40.000, "/m/01qbl,/m/026t6,/m/02hnl,/m/03qtq,/m/03t3fj,/m/06rvn,/m/0bm02,/m/0l14md"
-Sclnq22t7o, 30.000, 40.000, "/m/03q5_w"
-T-ZI1MZ44g, 40.000, 50.000, "/m/04rlf,/m/09x0r,/t/dd00127"
-T4GeTHKtJQ, 30.000, 40.000, "/m/02x8m,/m/04rlf"
-TJe1_ECCwM, 6.000, 16.000, "/m/07pws3f"
-TNmWwhsnzs, 30.000, 40.000, "/m/07qv4k0"
-Tea8DpWZQM, 13.000, 23.000, "/m/015lz1,/m/01swy6,/m/09x0r"
-ToQFT3M-Vg, 200.000, 210.000, "/m/02cjck,/m/04rlf"
-TpdnwhYCvk, 30.000, 40.000, "/m/07qsvvw"
-TvUb8THUq4, 100.000, 110.000, "/m/04rlf,/m/06bxc"
-U3Xh6Fsw50, 0.000, 10.000, "/m/07pqn27,/m/09x0r"
-UGmXiQ8yiY, 50.000, 60.000, "/m/03dnzn,/m/07p7b8y,/m/09x0r"
-UNPp3fEWSE, 0.000, 10.000, "/m/01d380,/m/07k1x,/m/0_ksk"
-UYmhq3Rjtc, 30.000, 40.000, "/m/04rlf,/m/07pws3f"
-Ub8LKPkhos, 60.000, 70.000, "/m/06xkwv"
-UbFLKplzbE, 30.000, 40.000, "/m/01j4z9"
-UcfsxiD_ns, 340.000, 350.000, "/m/0llzx"
-UfqtS1lsRY, 30.000, 40.000, "/m/01bns_,/m/0d8_n"
-UuEBhule84, 350.000, 360.000, "/m/015lz1,/m/01lyv,/m/04rlf,/m/07s0s5r"
-Uw2HHni78U, 80.000, 90.000, "/m/0jb2l,/m/0ngt1"
-V7u2HffQAE, 160.000, 170.000, "/m/07rrh0c,/m/09x0r"
-VI2IRq17rs, 360.000, 370.000, "/m/0395lw"
-VXpZuIsb_g, 30.000, 40.000, "/m/030rvx,/m/09x0r"
-VZZ_IzaG7A, 350.000, 360.000, "/m/07phxs1"
-VclCul6FrI, 80.000, 90.000, "/m/013y1f,/m/04rlf,/m/04szw,/m/05148p4,/m/05r5c,/m/0b9m1,/t/dd00125"
-VygdbfiRes, 30.000, 40.000, "/m/07swgks,/m/09x0r"
-W5c6CeUMPE, 40.000, 50.000, "/m/01swy6,/m/04rlf,/m/0l14j_,/m/0mkg"
-WFsDr9xBVo, 30.000, 40.000, "/m/025wky1,/m/09x0r"
-WH_8Hk1fnM, 110.000, 120.000, "/m/04rlf,/m/07brj"
-WX7nQcZPVQ, 30.000, 40.000, "/m/04rlf,/m/04szw,/m/07brj"
-WmL01c-4ZE, 20.000, 30.000, "/m/07rjzl8,/m/09x0r,/t/dd00128"
-Wu-WkTumEM, 30.000, 40.000, "/m/04rlf,/t/dd00004,/t/dd00005"
-X14yAhC-SE, 30.000, 40.000, "/m/07qs1cx"
-X5Ay0Wuew0, 20.000, 30.000, "/m/0dl83"
-X5M6FevXWU, 30.000, 40.000, "/m/03lty,/m/04rlf,/m/0dl5d"
-XAxN0GUsLs, 270.000, 280.000, "/m/03vt0,/m/09f96,/m/0h2mp"
-XN0NtrnfMY, 30.000, 40.000, "/m/04rlf,/t/dd00035"
-XOINU-l1_o, 90.000, 100.000, "/m/04rlf,/t/dd00035"
-XVgCqsHi3g, 30.000, 40.000, "/m/02mk9,/m/04229,/m/07pb8fc,/m/07yv9,/t/dd00067"
-XkbErI_7EU, 50.000, 60.000, "/m/01kcd,/m/0319l"
-XxJ50brqGw, 30.000, 40.000, "/m/09x0r,/t/dd00018"
-Y1qiiugnk8, 30.000, 40.000, "/m/012n7d,/m/03j1ly,/m/03kmc9"
-Y3kEZ8li-A, 30.000, 40.000, "/m/07rbp7_"
-YATTKBtmRA, 190.000, 200.000, "/m/01s0ps,/m/05148p4,/m/05r5c"
-YGmAv-5bYk, 30.000, 40.000, "/m/01sm1g,/m/0l14md"
-YX2e66b5HA, 10.000, 20.000, "/m/04rlf,/m/04wptg"
-YZRsLrmqEA, 0.000, 10.000, "/m/07pzfmf"
-Ypg2o4TqXM, 30.000, 40.000, "/m/07r4wb8"
-YxGyNHMasQ, 240.000, 250.000, "/m/0130jx,/m/02jz0l,/m/0838f"
-ZHpNr_KRXU, 30.000, 40.000, "/m/02w4v,/m/04rlf"
-Ze_xQhxKRo, 30.000, 40.000, "/m/0j2kx"
-ZjxFZOaY50, 30.000, 40.000, "/m/025rv6n,/m/07qwf61,/m/0dbvp"
-_6RxZyi30Q, 70.000, 80.000, "/m/015lz1,/m/04rlf,/m/0g293,/t/dd00126"
-_Hpy806bks, 180.000, 190.000, "/m/023pjk,/m/04brg2"
-_OzT7Xyvok, 30.000, 4
